,Location,Sex Assigned at Birth,Age,Education,Race/Origin,Citizenship,Marital Status,Religion,Religious Service Attendance,Politics,Income,Political Views,Household Size,Employment Status
1020,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",,Roman Catholic,A few times a year,,,Moderate,4 people,Full-time employment
1021,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,High school graduate,Hispanic,"Yes, a citizen of the United States",Never been married,Atheist,Never,,,Moderate,3 people,Unemployed
1023,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,,Widowed,Agnostic,Seldom,,,Moderate,2,Self-employed
1024,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Married,Other,Once a week,Democrat,"\$100,000 or more",Moderate,4,Full-time employment
1025,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,High school graduate,Black,"Yes, a citizen of the United States",Never been married,Atheist,Never,,,Very liberal,4 people,Unemployed
1026,"Lives in the South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,"Some college, no degree",Black,"Yes, a citizen of the United States",Married,Protestant,More than once a week,Democrat,,Very conservative,2 people,Part-time employment
1028,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,Independent,,Conservative,1 person,Full-time employment
1029,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,College graduate/some postgrad,Hispanic,Yes,Divorced,Roman Catholic,A few times a year,Democrat,,Liberal,1,Retired
1032,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",White,,Never been married,Roman Catholic,Seldom,Independent,,Liberal,2,Student
1033,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,High school graduate,White,,Married,Protestant,Seldom,,,Conservative,3,Retired
1034,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,"Some college, no degree",White,,,Other,Once or twice a month,Republican,,Conservative,4,Student
1035,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Other,Seldom,,,Liberal,3 people,Student
1036,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Protestant,Once a week,Democrat,,Liberal,More than 4,Part-time employment
1037,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Roman Catholic,Seldom,,,Conservative,3,Self-employed
1042,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,High school graduate,White,"Yes, a citizen of the United States",Widowed,Roman Catholic,Once a week,Republican,"\$30,000-\$50,000",Very conservative,3 people,Retired
1043,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,College graduate/some postgrad,White,,,Roman Catholic,Once a week,Republican,,Conservative,2,Full-time employment
1044,"Lives in the South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",,Protestant,Seldom,Republican,,Conservative,3 people,Full-time employment
1046,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,18-29,High school graduate,White,"Yes, a citizen of the United States",Divorced,Nothing in particular,Never,,,Very liberal,3 people,Retired
1047,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,Associate's degree,White,"Yes, a citizen of the United States",,Atheist,Never,Democrat,,Liberal,2 people,Full-time employment
1048,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Associate's degree,White,"Yes, a citizen of the United States",Married,Protestant,Once or twice a month,,,Moderate,More than 4,Part-time employment
1050,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,High school graduate,White,,Never been married,Nothing in particular,Never,,,Moderate,More than 4,Part-time employment
1051,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,Other,,Married,Agnostic,Never,,,Liberal,4,Full-time employment
1057,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Atheist,Never,,,Liberal,4 people,Full-time employment
1058,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,"Some college, no degree",White,,,Nothing in particular,Never,Democrat,,Moderate,More than 4,Full-time employment
1059,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,Associate's degree,Hispanic,"Yes, a citizen of the United States",,Roman Catholic,Seldom,,,Conservative,4 people,Full-time employment
1060,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Jewish,Seldom,Democrat,"Less than $30,000",Very liberal,1 person,Part-time employment
1061,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",White,,Married,Agnostic,Never,,,Moderate,3,Unemployed
1063,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Associate's degree,Black,,,Atheist,Never,Republican,,Liberal,3,Full-time employment
1064,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,Associate's degree,White,"Yes, a citizen of the United States",Married,Other,Seldom,,,Very liberal,3 people,Unemployed
1065,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,Postgraduate,Other,,Married,Agnostic,Never,Democrat,,Liberal,4,Full-time employment
1069,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Agnostic,Seldom,,,Very liberal,2 people,Unemployed
1070,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,"Some college, no degree",White,,Divorced,Roman Catholic,Never,Republican,,Conservative,1 person,Part-time employment
1072,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,,,Liberal,1 person,Unemployed
1073,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,,,Very liberal,3 people,Unemployed
1074,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,College graduate/some postgrad,White,,,Agnostic,Never,,,Very liberal,2,Full-time employment
1075,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,College graduate/some postgrad,White,,Married,Other,Never,Democrat,,Very liberal,2,Retired
1078,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Never been married,Other,Once a week,,,Moderate,More than 4,Unemployed
1081,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,High school graduate,White,"Yes, a citizen of the United States",Married,Atheist,Seldom,,,Liberal,2 people,Full-time employment
1082,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",,Other,Seldom,Republican,,Conservative,3 people,Full-time employment
1083,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,18-29,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Never been married,Protestant,Never,Independent,"Less than $30,000",Conservative,3 people,Unemployed
1085,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,65+,Postgraduate,White,,Divorced,Other,Seldom,,,Liberal,1,Part-time employment
1086,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,Postgraduate,White,,Married,Roman Catholic,Seldom,Democrat,,Liberal,2,Retired
1087,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,College graduate/some postgrad,White,,Married,Agnostic,Never,Independent,,Liberal,4,Part-time employment
1090,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,"Some college, no degree",White,,,Roman Catholic,Seldom,Republican,,Conservative,1 person,Unemployed
1095,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,High school graduate,White,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,Independent,"Less than $30,000",Moderate,2 people,Unemployed
1096,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Postgraduate,White,"Yes, a citizen of the United States",Married,Mormon,More than once a week,Republican,"\$100,000 or more",Moderate,More than 4,Part-time employment
1099,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,18-29,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",,Nothing in particular,Never,,,Very liberal,2 people,Unemployed
1101,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Never been married,Atheist,Never,Democrat,"\$100,000 or more",Liberal,4,Full-time employment
1102,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Never been married,Agnostic,Never,,,Moderate,3 people,Full-time employment
1105,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,Postgraduate,White,"Yes, a citizen of the United States",Married,Atheist,Never,Democrat,,Very liberal,3 people,Full-time employment
1107,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Atheist,Never,Democrat,,Liberal,4 people,Home-maker
1110,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,"Some college, no degree",Black,"Yes, a citizen of the United States",Married,Nothing in particular,A few times a year,,,Moderate,3 people,Part-time employment
1112,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Nothing in particular,Seldom,Democrat,,Liberal,2 people,Unemployed
1113,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",Asian,"Yes, a citizen of the United States",Never been married,Roman Catholic,Once a week,,,Conservative,1 person,Part-time employment
1114,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Nothing in particular,Seldom,Republican,"\$100,000 or more",Conservative,4 people,Self-employed
1118,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,18-29,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,Democrat,"Less than $30,000",Very liberal,1 person,Part-time employment
1119,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Married,Nothing in particular,Never,,,Moderate,More than 4,Part-time employment
1120,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,High school graduate,White,,Married,Nothing in particular,A few times a year,Republican,,Conservative,2,Full-time employment
1122,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Atheist,Never,Democrat,"\$100,000 or more",Very liberal,1 person,Full-time employment
1125,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,College graduate/some postgrad,White,,Married,Nothing in particular,Never,Democrat,,Liberal,2,Full-time employment
1127,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,College graduate/some postgrad,White,,Never been married,Protestant,Once or twice a month,,,Liberal,4,Full-time employment
1130,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Nothing in particular,Seldom,Independent,"Less than $30,000",Moderate,3 people,Part-time employment
1131,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,"Some college, no degree",White,,,Agnostic,Never,,,Very liberal,3,Full-time employment
1132,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",Married,Protestant,Seldom,,,Liberal,2 people,Self-employed
1134,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,,Married,Protestant,Once a week,Republican,,Very conservative,2,Full-time employment
1136,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,High school graduate,Black,"Yes, a citizen of the United States",Married,Roman Catholic,Seldom,Democrat,,Moderate,3 people,Home-maker
1137,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,Black,Yes,Never been married,Nothing in particular,Seldom,Democrat,,Liberal,3,Full-time employment
1138,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,High school graduate,White,,Married,Roman Catholic,Never,,,Liberal,2,Retired
1140,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Associate's degree,Asian,"Yes, a citizen of the United States",Never been married,Atheist,Never,,,Moderate,2 people,Student
1141,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,Postgraduate,White,"Yes, a citizen of the United States",Married,Protestant,Once a week,,,Liberal,3 people,Full-time employment
1142,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Agnostic,Seldom,Democrat,"Less than $30,000",Very liberal,3 people,Self-employed
1143,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,18-29,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Never been married,Protestant,More than once a week,Republican,,Liberal,3 people,Full-time employment
1144,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,High school graduate,White,,Divorced,Other,Once a week,,,Moderate,1 person,Retired
1146,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,18-29,College graduate/some postgrad,White,,Never been married,Protestant,Once or twice a month,Democrat,,Very liberal,1 person,Unemployed
1147,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",,Agnostic,Never,Democrat,,Very liberal,3 people,Full-time employment
1149,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,Associate's degree,Other,"Yes, a citizen of the United States",,Other,Once or twice a month,,,Moderate,3 people,Full-time employment
1150,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Protestant,Once a week,,,Moderate,More than 4 people,Unemployed
1151,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,,Married,Protestant,A few times a year,Republican,,Conservative,2,Part-time employment
1154,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,Postgraduate,White,"Yes, a citizen of the United States",Married,Protestant,Once a week,Republican,"\$100,000 or more",Very conservative,More than 4,Part-time employment
1156,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,Postgraduate,White,,Never been married,Other,Seldom,Democrat,,Very liberal,1,Full-time employment
1157,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,Associate's degree,White,"Yes, a citizen of the United States",Married,Agnostic,Never,,,Liberal,2 people,Self-employed
1159,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",Black,"Yes, a citizen of the United States",Never been married,Other,Seldom,Republican,,Conservative,More than 4,Full-time employment
1160,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,"Some college, no degree",Other,,Married,Muslim,Once a week,Democrat,,Moderate,4,Full-time employment
1163,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",White,,Never been married,Protestant,Never,Democrat,,Moderate,3,Full-time employment
1164,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,"Some college, no degree",Black,,Never been married,Roman Catholic,A few times a year,Democrat,,Liberal,2,Full-time employment
1166,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,Postgraduate,White,"Yes, a citizen of the United States",Married,Roman Catholic,Once a week,Republican,,Very conservative,More than 4,Full-time employment
1169,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,College graduate/some postgrad,White,,,Protestant,A few times a year,Republican,,Very conservative,4 people,Full-time employment
1171,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Buddhist,Never,,,Very liberal,4 people,Self-employed
1172,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,18-29,College graduate/some postgrad,,"Yes, a citizen of the United States",Married,Muslim,More than once a week,Republican,,Liberal,More than 4,Full-time employment
1175,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",,Roman Catholic,A few times a year,,,Moderate,2 people,Full-time employment
1177,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,Black,,Married,Jewish,More than once a week,Republican,,Conservative,4,Full-time employment
1179,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,Postgraduate,White,,,Orthodox,Once or twice a month,Republican,,Conservative,2 people,Part-time employment
1181,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,Postgraduate,Black,,Never been married,Other,More than once a week,,,Moderate,3,Self-employed
1183,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,College graduate/some postgrad,Other,,Married,Protestant,Once a week,Independent,,Conservative,4,Full-time employment
1185,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,Black,,Married,Other,More than once a week,Republican,,Moderate,4,Full-time employment
1186,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",Married,Protestant,Never,Democrat,"\$50,000-\$75,000",Liberal,More than 4,Part-time employment
1189,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,College graduate/some postgrad,White,,Never been married,Roman Catholic,A few times a year,Republican,,Conservative,1,Full-time employment
1190,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,,Never been married,Agnostic,Seldom,Democrat,,Liberal,1 person,Self-employed
1193,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,65+,"Some college, no degree",White,,Divorced,Protestant,Once or twice a month,Republican,,Very conservative,1 person,Retired
1195,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,"Some college, no degree",Black,,Separated,Roman Catholic,Once or twice a month,Republican,,Very conservative,2 people,Part-time employment
1196,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,Associate's degree,Black,"Yes, a citizen of the United States",Married,Agnostic,A few times a year,Democrat,,Liberal,4 people,Full-time employment
1198,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,Associate's degree,Black,"Yes, a citizen of the United States",,Nothing in particular,Never,,,Moderate,1 person,Part-time employment
1199,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,High school graduate,Black,"Yes, a citizen of the United States",Never been married,Nothing in particular,A few times a year,Democrat,"Less than $30,000",Liberal,3 people,Unemployed
1200,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,High school graduate,Other,,,Other,Never,,,Conservative,2,Retired
1201,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",White,,Never been married,Other,Seldom,Democrat,,Very liberal,3,Full-time employment
1202,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,Other,,Married,Agnostic,Never,Democrat,,Liberal,3,Self-employed
1203,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,College graduate/some postgrad,White,,Married,Protestant,A few times a year,Democrat,,Moderate,3,Full-time employment
1204,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,High school graduate,White,"Yes, a citizen of the United States",Married,Protestant,Once a week,Republican,,Very conservative,2 people,Retired
1205,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,"Some college, no degree",White,"Yes, a citizen of the United States",Widowed,Roman Catholic,Once or twice a month,Republican,"\$30,000-\$50,000",Very conservative,1 person,Retired
1207,"Lives in the South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL).",Female.,65+.,"Some college, no degree.",White.,"Yes, a citizen of the United States.",Married.,Other.,Never attends religious services (aside from weddings and funerals).,Independent.,"\$50,000-\$75,000 per year.",Moderate.,2 people.,Retired.
1209,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,Something else,,Moderate,2 people,Unemployed
1212,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,Postgraduate,White,,Married,Protestant,Seldom,Independent,,Moderate,2,Self-employed
1215,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Never been married,Agnostic,Never,Independent,"\$30,000-\$50,000",Moderate,3,Unemployed
1217,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,High school graduate,White,"Yes, a citizen of the United States",Married,Protestant,Never,,,Conservative,4 people,Part-time employment
1219,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Roman Catholic,Once a week,,,Moderate,1 person,Part-time employment
1220,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Nothing in particular,Never,Republican,,Conservative,3 people,Full-time employment
1221,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,Associate's degree,Black,"Yes, a citizen of the United States",Married,Protestant,A few times a year,Democrat,,Conservative,4 people,Full-time employment
1223,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,College graduate/some postgrad,White,,Married,Protestant,Once or twice a month,Republican,,Conservative,3,Self-employed
1224,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Protestant,Once a week,Republican,,Very conservative,2 people,Unemployed
1225,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,"Some college, no degree",White,,Divorced,Jewish,More than once a week,Republican,,Conservative,2,Self-employed
1226,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,Postgraduate,White,,Married,Jewish,Never,Democrat,,Liberal,2,Retired
1230,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,College graduate/some postgrad,White,,Never been married,Protestant,Seldom,Democrat,,Very liberal,3,Self-employed
1231,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,Postgraduate,Black,"Yes, a citizen of the United States",Married,Protestant,Once a week,Republican,"\$100,000 or more",Conservative,4,Full-time employment
1234,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,Postgraduate,White,,Never been married,Roman Catholic,A few times a year,Independent,,Moderate,1 person,Full-time employment
1235,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,High school graduate,White,"Yes, a citizen of the United States",Married,Roman Catholic,Seldom,Republican,"Less than $30,000",Moderate,3 people,Full-time employment
